video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=S86VZES9WpY&pp=ygURdHJ1bXAgbGF0ZXN0IG5ld3M%3D,/@MeidasTouch,MeidasTouch,Trump Lawyer Has PUBLIC MELTDOWN after $83.3 Million Verdict,781K,1 day,MeidasTouch host Ben Meiselas reports on the press conference held by Donald Trump's lawyer Alina Hanna after Trump was hit ...,2024-01-28 00:11:39.682733
/watch?v=cP0DvOJVcVA&pp=ygURdHJ1bXAgbGF0ZXN0IG5ld3M%3D,/@msnbc,MSNBC,Trump reacts to verdict ordering him to pay $83.3 million in damages to E. Jean Carroll,794K,1 day,Vaughn Hillyard NBC News Correspondent and Harry Litman former U.S. Attorney reacting to the verdict awarding $83.3 in ...,2024-01-28 00:11:39.685498
/watch?v=QTJG5DMNd1o&pp=ygURdHJ1bXAgbGF0ZXN0IG5ld3M%3D,/@MeidasTouch,MeidasTouch,Trump Makes TERRIFIED RESPONSE After Losing $83.3 Million VERDICT,658K,23 hours,MeidasTouch host Ben Meiselas reports on Donald Trump's weak and terrified response to the $83.3 million defamation verdict ...,2024-01-28 00:11:39.692089
/watch?v=kgjf5jADC3E&pp=ygURdHJ1bXAgbGF0ZXN0IG5ld3M%3D,/@fallontonight,The Tonight Show Starring Jimmy Fallon,"Hawaii May Ban Trump from 2024 Ballot, Trump Set to Hold Campaign Rally in Vegas | The Tonight Show",324K,19 hours,"Jimmy addresses the latest news, like Hawaii considering a bill that bans Trump from its 2024 ballot, Trump holding a campaign ...",2024-01-28 00:11:39.702294
/watch?v=sZwnZi-ppco&pp=ygURdHJ1bXAgbGF0ZXN0IG5ld3M%3D,/@CNN,CNN,He used to represent Trump. Hear what he thinks about Alina Habba,921K,20 hours,"Former Trump lawyer Tim Parlatore tells CNN's Kaitlan Collins that he thinks Alina Habba essentially left Trump ""undefended"" in ...",2024-01-28 00:11:39.707071
/watch?v=iVa2pFFRaXE&pp=ygURdHJ1bXAgbGF0ZXN0IG5ld3M%3D,/@FoxNews,Fox News,'Unprecedented' E. Jean Carroll verdict is a message to Trump: Legal expert,275K,17 hours,Former U.S. Assistant Attorney Andy McCarthy and former Deputy Assistant Attorney General John Yoo react to former President ...,2024-01-28 00:11:39.713448
/watch?v=WGs9Fmbp3A0&pp=ygURdHJ1bXAgbGF0ZXN0IG5ld3M%3D,/@briantylercohen,Brian Tyler Cohen,"BREAKING: Trump storms out of court, judge threatens Trump attorney with jail",850K,1 day,"BREAKING: Trump storms out of court, judge threatens Trump attorney with jail To demand Clarence Thomas recuse himself from ...",2024-01-28 00:11:39.718762
/watch?v=OttEUNUyf4s&pp=ygURdHJ1bXAgbGF0ZXN0IG5ld3M%3D,/@ForbesBreakingNews,Forbes Breaking News,WATCH: E. Jean Carroll's Attorney Reacts To $83.3 Million Verdict In Trump Defamation Trial,122K,20 hours,"On CNN's Anderson Cooper 360 tonight, E. Jean Carroll's attorney Roberta Kaplan reacted to the $83.3 million verdict in the ...",2024-01-28 00:11:39.728640
/watch?v=7b3wsb_Mysw&pp=ygURdHJ1bXAgbGF0ZXN0IG5ld3M%3D,/@msnbc,MSNBC,Las Vegas rally will be Trump's first public remarks since Carroll verdict,15K,5 hours,Former President Donald Trump will make public remarks in Las Vegas for the first time since a New York jury decided he should ...,2024-01-28 00:11:39.731436
/watch?v=ACAkWwZkEgo&pp=ygURdHJ1bXAgbGF0ZXN0IG5ld3M%3D,/@CNN,CNN,Judge threatens Trump's attorney with jail time,1.5M,1 day,"Judge Lewis Kaplan issued a warning to former President Donald Trump's attorney, Alina Habba, ahead of closing arguments in ...",2024-01-28 00:11:39.740979
/watch?v=birvaSBiJ-4&pp=ygURdHJ1bXAgbGF0ZXN0IG5ld3M%3D,/@thehill,The Hill,"RNC Might CANCEL Primary for Trump, Haley Releases SURREAL Merch:  Rising",86K,1 day,Amber Duke and Jessica Burbank discuss the Republican National Committee mulling halting the GOP primaries. About Rising: ...,2024-01-28 00:11:39.744064
/watch?v=NyX_nHvA6Kg&pp=ygURdHJ1bXAgbGF0ZXN0IG5ld3M%3D,/@msnbc,MSNBC,Can Trump get his donors to pay $83.3 million awarded to E. Jean Carroll?,618K,20 hours,"... https://www.msnbc.com/maddowblog ReidOut Blog: https://www.msnbc.com/reidoutblog MSNBC delivers breaking news, ...",2024-01-28 00:11:39.747298
/watch?v=89qqsGmrSP0&pp=ygURdHJ1bXAgbGF0ZXN0IG5ld3M%3D,/@TheTimes,The Times and The Sunday Times,LIVE: Donald Trump holds rally in Las Vegas after $83.3m lawsuit,23K,Streamed 1 hour,"Former US President Donald Trump holds a campaign rally in Las Vegas, Nevada. Donald Trump has been ordered to pay the ...",2024-01-28 00:11:39.756972
